ShotDate,ScanTime
2/18/2021,0
2/18/2021,0
2/18/2021,0
2/18/2021,0
2/18/2021,69
2/18/2021,752
2/18/2021,753
2/18/2021,0
2/18/2021,752
2/18/2021,753
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,0
2/18/2021,752
2/18/2021,752
2/18/2021,0
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,753
2/18/2021,752
2/18/2021,752
2/18/2021,753
2/18/2021,752
2/18/2021,751
2/18/2021,0
2/18/2021,0
2/18/2021,751
2/18/2021,752
2/18/2021,753
2/18/2021,0
2/18/2021,753
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,0
2/18/2021,0
2/18/2021,752
2/18/2021,753
2/18/2021,752
2/18/2021,752
2/18/2021,751
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,751
2/18/2021,753
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,753
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,753
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,752
2/18/2021,751
2/18/2021,752
2/18/2021,753
2/18/2021,783
2/18/2021,0
2/18/2021,783
2/18/2021,0
2/18/2021,527
2/18/2021,9055
2/18/2021,528
2/18/2021,8055
2/18/2021,8056
2/18/2021,784
2/18/2021,783
2/18/2021,785
2/18/2021,783
2/18/2021,4001
2/18/2021,4003
2/18/2021,4003
2/18/2021,4002
2/18/2021,784
2/18/2021,783
2/18/2021,784
2/18/2021,784
2/18/2021,4001
2/18/2021,4002
2/18/2021,784
2/18/2021,784
2/18/2021,785
2/18/2021,783
2/18/2021,784
2/18/2021,785
2/18/2021,0
2/18/2021,0
2/18/2021,4001
2/18/2021,4002
2/18/2021,4002
2/18/2021,4003
2/18/2021,0
2/18/2021,0
2/18/2021,2001
2/18/2021,2002
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2002
2/18/2021,2002
2/18/2021,2002
2/18/2021,2002
2/18/2021,2002
2/18/2021,2002
2/18/2021,2003
2/18/2021,2003
2/18/2021,2002
2/18/2021,30001
2/18/2021,30001
2/18/2021,30001
2/18/2021,4001
2/18/2021,4001
2/18/2021,4001
2/18/2021,4002
2/18/2021,4001
2/18/2021,4002
2/18/2021,4001
2/18/2021,4001
2/18/2021,4001
2/18/2021,4001
2/18/2021,4002
2/18/2021,4001
2/18/2021,4002
2/18/2021,4008
2/18/2021,4001
2/18/2021,4001
2/18/2021,4002
2/18/2021,4001
2/18/2021,4001
2/18/2021,4002
2/18/2021,4002
2/18/2021,4001
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2002
2/18/2021,2002
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2001
2/18/2021,2003
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2003
2/18/2021,2004
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2002
2/18/2021,2002
2/18/2021,2002
2/18/2021,1003
2/18/2021,1002
2/18/2021,1002
2/18/2021,1003
2/18/2021,1002
2/18/2021,1003
2/18/2021,1002
2/18/2021,1002
2/18/2021,1002
2/18/2021,1003
2/18/2021,2001
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2004
2/18/2021,2002
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,2004
2/18/2021,2002
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2002
2/18/2021,2003
2/18/2021,2003
2/18/2021,2003
2/18/2021,1002
2/18/2021,1003
2/18/2021,1003
2/18/2021,1001
2/18/2021,1002
2/18/2021,1002
2/18/2021,1002
2/18/2021,1004
2/18/2021,1002
2/18/2021,1003
2/19/2021,4002
2/19/2021,4002
2/19/2021,0
2/19/2021,0
2/19/2021,2003
2/19/2021,2002
2/19/2021,2002
2/19/2021,2002
2/19/2021,2003
2/19/2021,2002
2/19/2021,2002
2/19/2021,2003
2/19/2021,2003
2/19/2021,2002
2/19/2021,2002
2/19/2021,2003
2/19/2021,2003
2/19/2021,2002
2/19/2021,2001
2/19/2021,2003
2/19/2021,2004
2/19/2021,2002
2/19/2021,2002
2/19/2021,2005
2/19/2021,2003
2/19/2021,0
2/19/2021,0
2/19/2021,534
2/19/2021,533
2/19/2021,534
2/19/2021,533
2/19/2021,2003
2/19/2021,2003
2/19/2021,2003
2/19/2021,2003
2/19/2021,2002
2/19/2021,2003
2/19/2021,2002
2/19/2021,2001
2/19/2021,2002
2/19/2021,2003
2/19/2021,2003
2/19/2021,2003
2/19/2021,2003
2/19/2021,2003
2/19/2021,2001
2/19/2021,2003
2/19/2021,0
2/19/2021,0
2/19/2021,0
2/19/2021,4000
2/19/2021,4003
2/19/2021,4001
2/19/2021,4002
2/19/2021,0
2/19/2021,0
2/19/2021,4001
2/19/2021,4003
2/19/2021,4001
2/19/2021,4003
2/19/2021,0
2/19/2021,0
2/19/2021,454
2/19/2021,454
2/19/2021,454
2/19/2021,454
2/19/2021,4001
2/19/2021,4003
2/19/2021,534
2/19/2021,533
2/19/2021,784
2/19/2021,784
2/19/2021,1035
2/19/2021,1035
2/19/2021,1537
2/19/2021,1537
2/19/2021,1537
2/19/2021,1032
2/19/2021,1031
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,783
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,783
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,783
2/19/2021,783
2/19/2021,783
2/19/2021,783
2/19/2021,784
2/19/2021,784
2/19/2021,783
2/19/2021,784
2/19/2021,784
2/19/2021,783
2/19/2021,783
2/19/2021,783
2/19/2021,784
2/19/2021,783
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,783
2/19/2021,784
2/19/2021,783
2/19/2021,783
2/19/2021,784
2/19/2021,784
2/19/2021,784
2/19/2021,450
2/19/2021,453
2/19/2021,454
2/19/2021,454
2/19/2021,451
2/19/2021,452
2/19/2021,453
2/19/2021,454
2/19/2021,454
2/19/2021,531
2/19/2021,532
2/19/2021,533
2/19/2021,533
2/19/2021,530
2/19/2021,532
2/19/2021,532
2/19/2021,533
2/19/2021,533
2/19/2021,780
2/19/2021,782
2/19/2021,783
2/19/2021,784
2/19/2021,780
2/19/2021,782
2/19/2021,783
2/19/2021,784
2/19/2021,783
2/19/2021,451
2/19/2021,451
2/19/2021,453
2/19/2021,453
2/19/2021,454
2/19/2021,453
2/19/2021,454
2/19/2021,453
2/19/2021,450
2/19/2021,451
2/19/2021,451
2/19/2021,453
2/19/2021,452
2/19/2021,453
2/19/2021,454
2/19/2021,454
2/19/2021,454
2/19/2021,454
2/19/2021,530
2/19/2021,530
2/19/2021,532
2/19/2021,533
2/19/2021,533
2/19/2021,533
2/19/2021,534
2/19/2021,533
2/19/2021,531
2/19/2021,530
2/19/2021,532
2/19/2021,532
2/19/2021,533
2/19/2021,533
2/19/2021,533
2/19/2021,533
2/19/2021,534
